PAYER,ORGANIZATION,IN_NETWORK
d47b3510-2895-3b70-9897-342d681c769d,00065b1c-5e71-3da5-907f-e9fc33eddbbf,true
d47b3510-2895-3b70-9897-342d681c769d,001d000f-be37-3cf2-9339-6b613dd0117d,true
d47b3510-2895-3b70-9897-342d681c769d,00717240-296a-35b2-a336-8e3d9f085fce,true
d47b3510-2895-3b70-9897-342d681c769d,02da9e41-5656-33e0-be62-aff604c958d3,true
d47b3510-2895-3b70-9897-342d681c769d,03347b4d-994e-302b-848b-58019a4e274d,true
d47b3510-2895-3b70-9897-342d681c769d,0471e045-73e1-3540-a5e8-dbef0d4093b6,true
d47b3510-2895-3b70-9897-342d681c769d,04c1cc59-11e3-30e5-b317-0bf5e765f3e8,true
d47b3510-2895-3b70-9897-342d681c769d,05462bf2-25d4-3ecd-afdf-bb3e1140929a,true
d47b3510-2895-3b70-9897-342d681c769d,05466cb7-f3c0-3bcd-8f9e-421e6547cb51,true
d47b3510-2895-3b70-9897-342d681c769d,059cdf63-a616-3f61-be4d-410d0be0623a,true
d47b3510-2895-3b70-9897-342d681c769d,060d4631-3566-3d04-9205-2827b0f87c2e,true
d47b3510-2895-3b70-9897-342d681c769d,060f5b13-56d0-3500-bbb5-008bcb8fe70a,false
d47b3510-2895-3b70-9897-342d681c769d,06298d60-e0e0-32d1-b465-2455b92414b9,true
d47b3510-2895-3b70-9897-342d681c769d,06eff9e0-c5b4-39ed-8273-2f29cf5d3185,true
d47b3510-2895-3b70-9897-342d681c769d,07528ac5-94f7-352d-b3e2-fd7269c88baa,false
d47b3510-2895-3b70-9897-342d681c769d,0871f090-09bb-3e6c-8381-ca5ac76a3937,true
d47b3510-2895-3b70-9897-342d681c769d,09548a91-70ff-3bb3-8f61-ee52f80665c2,false
d47b3510-2895-3b70-9897-342d681c769d,09aafb68-8363-327f-b033-a690de7a2930,true
d47b3510-2895-3b70-9897-342d681c769d,09b12738-8d19-3f48-bb86-1f0f0d3b5117,false
d47b3510-2895-3b70-9897-342d681c769d,09f69020-aa1e-3bd8-b1f1-9b4534273281,true
d47b3510-2895-3b70-9897-342d681c769d,0d1563c1-d56c-362e-9e3d-d74463ebbe0f,true
d47b3510-2895-3b70-9897-342d681c769d,0e7998eb-cf99-3b10-9381-4b3f4bf4d320,true
d47b3510-2895-3b70-9897-342d681c769d,0f7f97f6-693c-3de9-8190-85feaf4632e2,false
d47b3510-2895-3b70-9897-342d681c769d,108ccece-277a-396f-8bf2-1527f74458eb,true
d47b3510-2895-3b70-9897-342d681c769d,10968ba2-75e7-351a-a73a-c37a2a8dfcfc,true
d47b3510-2895-3b70-9897-342d681c769d,12c9daf5-a29c-36c9-ac55-28972463e566,true
d47b3510-2895-3b70-9897-342d681c769d,12dafd90-8c30-3c76-a9ae-f0272596d49a,true
d47b3510-2895-3b70-9897-342d681c769d,161a799c-4894-36f6-8ca7-2a71c8107f79,true
